uf,cod_municipio,municipio,esf,equipes,populacao,equipes_por_100mil,cobertura_pct
MT,510675,PONTES E LACERDA,12.0,15.0,55762.0,26.9,84.73
MT,510677,PORTO ALEGRE DO NORTE,5.0,5.0,12649.0,39.5,138.35
MT,510680,PORTO DOS GAÚCHOS,3.0,3.0,5705.0,52.6,184.04
MT,510682,PORTO ESPERIDIÃO,5.0,5.0,10088.0,49.6,173.47
MT,510685,PORTO ESTRELA,2.0,2.0,3141.0,63.7,222.85
MT,510700,POXORÉO,6.0,6.0,25103.0,23.9,83.65
MT,510704,PRIMAVERA DO LESTE,17.0,17.0,96006.0,17.7,61.97
MT,510706,QUERÊNCIA,7.0,8.0,31100.0,25.7,87.21
MT,510715,RESERVA DO CABAÇAL,1.0,1.0,2020.0,49.5,173.26
MT,510718,RIBEIRÃO CASCALHEIRA,5.0,5.0,10541.0,47.4,166.01
MT,510719,RIBEIRÃOZINHO,1.0,1.0,2733.0,36.6,128.06
MT,510720,RIO BRANCO,2.0,2.0,4440.0,45.0,157.65
MT,510757,RONDOLÂNDIA,2.0,2.0,3518.0,56.9,198.97
MT,510760,RONDONÓPOLIS,63.0,65.0,263708.0,24.6,85.6
MT,510770,ROSÁRIO OESTE,6.0,6.0,15041.0,39.9,139.61
MT,510775,SALTO DO CÉU,2.0,2.0,3657.0,54.7,191.41
MT,510724,SANTA CARMEM,2.0,3.0,5795.0,51.8,166.09
MT,510774,SANTA CRUZ DO XINGU,1.0,1.0,2904.0,34.4,120.52
MT,510776,SANTA RITA DO TRIVELATO,2.0,2.0,3536.0,56.6,197.96
